example_id	scenario_id	paraphrase_id	split	predicate	label	stable	confidence	forward_label	reversed_label	forward_margin	reversed_margin
s00000-p0	s00000	0	evaluation	knows	False	True	0.9999999999261051	False	False	23.93730926513672	23.32837677001953
s00000-p0	s00000	0	evaluation	believes	True	True	0.9999912376248372	True	True	11.645034790039062	15.288753509521484
s00000-p0	s00000	0	evaluation	true	False	True	0.9999999581308336	False	False	16.98871612548828	19.099956512451172
s00000-p0	s00000	0	evaluation	justified	False	True	0.999999787207768	False	False	15.36294937133789	17.630237579345703
s00000-p0	s00000	0	evaluation	lucky_guessed	True	True	0.9999488648435325	True	True	11.523452758789062	9.880987167358398
s00000-p1	s00000	1	evaluation	knows	False	True	0.9991827620958267	False	False	11.070999145507812	7.108762741088867
s00000-p1	s00000	1	evaluation	believes	True	True	0.9999999117474336	True	True	16.24306297302246	19.832962036132812
s00000-p1	s00000	1	evaluation	true		False	0.6048877024042447	False	False	2.714916229248047	0.425872802734375
s00000-p1	s00000	1	evaluation	justified	False	True	0.8430409081071288	False	False	3.6599979400634766	1.6810302734375
s00000-p1	s00000	1	evaluation	lucky_guessed	False	True	0.9771940487318035	False	False	4.838621139526367	3.7576637268066406
s00000-p2	s00000	2	evaluation	knows	False	True	0.9999983818920476	False	False	13.334251403808594	15.53293228149414
s00000-p2	s00000	2	evaluation	believes	True	True	0.9999998471830738	True	True	15.694025039672852	17.415790557861328
s00000-p2	s00000	2	evaluation	true	False	True	0.999999864056661	False	False	16.397178649902344	15.811027526855469
s00000-p2	s00000	2	evaluation	justified	False	True	0.9999979179693084	False	False	13.082164764404297	15.980937957763672
s00000-p2	s00000	2	evaluation	lucky_guessed	True	True	0.999964108216858	True	True	11.704883575439453	10.234966278076172
s00001-p0	s00001	0	evaluation	knows	False	True	0.9999999999960664	False	False	26.949020385742188	26.261470794677734
s00001-p0	s00001	0	evaluation	believes	True	True	0.9391447299344791	True	True	3.7176246643066406	2.736471176147461
s00001-p0	s00001	0	evaluation	true	False	True	0.999999999890872	False	False	22.938499450683594	24.967159271240234
s00001-p0	s00001	0	evaluation	justified	False	True	0.9999999999807118	False	False	24.784339904785156	24.671527862548828
s00001-p0	s00001	0	evaluation	lucky_guessed	True	True	0.9998987471289695	True	True	10.483009338378906	9.19778823852539
s00001-p1	s00001	1	evaluation	knows	False	True	0.9999999678768487	False	False	18.558963775634766	17.25368881225586
s00001-p1	s00001	1	evaluation	believes	True	True	0.9999923010861553	True	True	11.774423599243164	12.896171569824219
s00001-p1	s00001	1	evaluation	true	False	True	0.9999942135739277	False	False	12.059989929199219	13.815975189208984
s00001-p1	s00001	1	evaluation	justified	False	True	0.9999744468933618	False	False	13.00411605834961	10.574726104736328
s00001-p1	s00001	1	evaluation	lucky_guessed		False	0.5988859793077017	True	True	0.6239356994628906	0.40082550048828125
s00001-p2	s00001	2	evaluation	knows	False	True	0.9999999992483791	False	False	21.60012435913086	21.0087890625
