scenario_id	name	minimal_pair_group	scenario_version	claim	object	truth	belief	evidence_source	reliable	defeater	gettier	guessing	paraphrase_id	example_id	scenario_text	split_group	split
s00000	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	False	False	True	0	s00000-p0	Harper considered whether the orchard gate is unlocked. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition. the memory was normally dependable. Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp4da8221177819e61	evaluation
s00000	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	False	False	True	1	s00000-p1	For Harper, the proposition under consideration was that the orchard gate is unlocked. Events did not match the claim. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition; the memory was normally dependable. Harper accepted the claim. The position was selected arbitrarily without using the source. Contrary information was absent.	family|mp4da8221177819e61	evaluation
s00000	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	False	False	True	2	s00000-p2	The issue was whether the orchard gate is unlocked. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition, and the memory was normally dependable. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Contrary information was absent. The position was selected arbitrarily without using the source.	family|mp4da8221177819e61	evaluation
s00001	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	True	False	True	0	s00001-p0	Harper considered whether the orchard gate is unlocked. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition. the memory was normally dependable. Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp4da8221177819e61	evaluation
s00001	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	True	False	True	1	s00001-p1	For Harper, the proposition under consideration was that the orchard gate is unlocked. Events did not match the claim. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition; the memory was normally dependable. Harper accepted the claim. The position was selected arbitrarily without using the source. Credible contrary information was available but left unresolved.	family|mp4da8221177819e61	evaluation
s00001	Harper	mp4da8221177819e61	epistemic-v3	the orchard gate is unlocked	the state of the orchard gate	False	True	memory	True	True	False	True	2	s00001-p2	The issue was whether the orchard gate is unlocked. Harper recalled an earlier check of the state of the orchard gate, which appeared to support the proposition, and the memory was normally dependable. Harper's resulting position was described as follows: Harper accepted the claim. Events did not match the claim. Credible contrary information was available but left unresolved. The position was selected arbitrarily without using the source.	family|mp4da8221177819e61	evaluation
s00002	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	False	False	False	0	s00002-p0	Ari considered whether the meeting is in room twelve. Ari made a direct observation concerning the meeting room, which appeared to support the proposition. observations of this kind were usually accurate. Ari rejected the claim. Events did not match the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp86519eb1dcafef44	coding
s00002	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	False	False	False	1	s00002-p1	For Ari, the proposition under consideration was that the meeting is in room twelve. Events did not match the claim. Ari made a direct observation concerning the meeting room, which appeared to support the proposition; observations of this kind were usually accurate. Ari rejected the claim. Separate coincidence was absent from the outcome. Contrary information was absent.	family|mp86519eb1dcafef44	coding
s00002	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	False	False	False	2	s00002-p2	The issue was whether the meeting is in room twelve. Ari made a direct observation concerning the meeting room, which appeared to support the proposition, and observations of this kind were usually accurate. Ari's resulting position was described as follows: Ari rejected the claim. Events did not match the claim. Contrary information was absent. Separate coincidence was absent from the outcome.	family|mp86519eb1dcafef44	coding
s00003	Ari	mp86519eb1dcafef44	epistemic-v3	the meeting is in room twelve	the meeting room	False	False	perception	True	True	False	False	0	s00003-p0	Ari considered whether the meeting is in room twelve. Ari made a direct observation concerning the meeting room, which appeared to support the proposition. observations of this kind were usually accurate. Ari rejected the claim. Events did not match the claim. Credible contrary information was available but left unresolved. Separate coincidence was absent from the outcome.	family|mp86519eb1dcafef44	coding
